Id,Title,Description,Date,Duration,Type,Session,Track,Presenters,Materials
1063,New Mathematical Formulation of the Correspondence Principle,"The problem about the classical limit of Quantum Mechanis is a thorny and intriguing issue at the core of modern physics. There remain many doubts about this fundamental question of the foundations of Quantum Mechanics. In the literature,  there are many procedures to aboard this matter, the best known and used are the Planck´s limit ( ) and the Bohr´s Correspondence Principle (n>>1). Nathan Rosen and Richard Libboff have affirmed that this limits are not equivalent and that none of them has a universal charcater.     In this work we propose a new mathematical formulation of the Correspondence Principle. This new approach consists of obtaining the asymptotic limit of quantum probability density. As a result of this procedure, Classical Physics emerges as an asymptotic case of Quantum Mechanics. We show as examples of this procedure the cases of the quantum harmonic oscillator, the Kepler problem, the particle en the square infinity well and the quantum free falling.    With this approach one can understand the difference between the Planck´s limit and the Bohr´s Correspondence Principle. It also allows to clarify some of the differences that exist between Quantum Mechanics al Classical Physics.",2017-08-21 16:30:00+00:00,1 hour,Poster,Poster session,Workshop on Quantum Foundations and Quantum Information,Jorge Bernal Arroyo,
1065,Cylindrical symmetry: II. The Green’s function in 3 + 1 dimensional curved space,"An exact solution to the heat equation in curved space is a much sought after; this report presents a derivation wherein the cylindrical symmetry of the metric in 3 + 1 dimensional curved space has a pivotal role. To elaborate, the spherically symmetric Schwarzschild solution is a staple of textbooks on general relativity; not so perhaps, the static but cylindrically symmetric ones, though they were obtained almost contemporaneously by H.Weyl,Ann.Phys.Lpz.54,117(1917)     and T. Levi-Civita, Atti Acc. Lincei Rend. 28,101(1919). A renewed interest in this subject recently in C.S. Trendafilova and S.A. Fulling ,Eur.J.Phys. 32,1663(2011) – to which the reader is referred to for more references –    motivates this work, the first part of which (cf.Kamath, PoS (ICHEP2016)791) reworked the Antonsen-Bormann idea – arXiv:hep-th/9608141v1 – that was originally intended to compute the heat kernel in curved space to determine – following D.McKeon and T.Sherry,Phys.Rev.D35,3584(1987) – the zeta-function associated with the Lagrangian density for a massive real scalar field theory in 3 + 1 dimensional stationary curved space to one-loop order, the metric for which is cylindrically symmetric. Using the same Lagrangian density the    second part reported here essentially revisits the second paper by Bormann and Antonsen – arXiv:hep 9608142v1 but relies on the formulation by the author in S.G.Kamath, AIP Conf.Proc.1246,174 (2010) to obtain the Green’s function directly by solving a sequence of first order partial differential equations that is preceded by a second order partial differential equation.",2017-08-21 16:30:00+00:00,1 hour,Poster,Poster session,Special session on Astro-Cosmo-Gravity,Gopinath Kamath,
1067,Pontryagin trace anomaly,"It is known that quantum field theories defined on curved spacetimes develop quantum anomalies of a trace of the energy-momentum tensor, called trace anomalies. These anomalies can be classified by using cohomology analysis, which in 4D establishes three possible types of trace anomalies: Euler (or Gauss-Bonnet), Weyl and Pontryagin. While the appearance of Euler and Weyl trace anomalies is a generic property confirmed by explicit calculations, e.g., in the simple theory of free massless Dirac or Weyl spin 1/2 field, the status of Pontryagin anomaly is still not resolved. Moreover, several arguments were stated in the literature which apparently forbid appearance of Pontryagin anomaly for free spin 1/2 fields.    In this talk results that counter this standard story will be presented, showing that free Weyl spin 1/2 fermion on curved four-dimensional spacetime has Pontryagin anomaly, with the imaginary coefficient in front of the Pontryagin density. We have obtained this surprising result by explicit one-loop calculations using dimensional regularisation, by two different methods: (1) direct calculation using the Weyl fermion, (2) by exploiting the coupling to “axial gravity”, which allowed us to work with the Dirac instead of the Weyl field. The Pontryagin anomaly of the Dirac and the Majorana spin 1/2 field is vanishing.    This result has some important consequences, some of which will be discussed. One is that the supposed equivalence between quantum free Majorana and Weyl fields in purely gravitational background cannot be correct. There is also a question of the imaginary value of the anomaly, which may possibly signal the problems with chiral theories in which Weyl fermions are not appearing in pairs with both chiralities, or may have some importance in cosmology due to its unusual gravitational parity-odd nature.",2017-08-28 12:30:00+00:00,30 minutes,Talk,Special session on Astro-Cosmo-Gravity,Special session on Astro-Cosmo-Gravity,Predrag Dominis Prester,
1068,Quantum advantage and fault tolerant universal quantum computing in continuous variables,"Continuous Variables are a promising platform for demonstrating large scale quantum information effects thanks to the experimental advantages they provide. In this framework, we define a general quantum computational model based on a continuous variables hardware. It consists in vacuum input states, a finite set of gates — including non-Gaussian elements — and homodyne detection. We show that this model enables the encoding of fault tolerant universal quantum computing. Furthermore, when restricted to only commuting gates it turns into a sampling problem that can’t be simulated efficiently with a classical computer — unless the polynomial hierarchy collapses. Thus we provide a simple paradigm for short-term experiments relying on Gaussian states, homodyne detection and some form of non-Gaussian evolution.",2017-08-21 14:50:00+00:00,20 minutes,Talk,Workshop on continuous variables and quantum information,Workshop on Cont. Variables and Rel. Quantum Information,Tom Douce,
1069,Gaussian quantum steering of two bosonic modes in a squeezed thermal environment,"Einstein-Podolsky-Rosen steerability of quantum states is a property that is different from entanglement and Bell nonlocality. We describe the time evolution of a recently introduced measure that quantifies steerability for arbitrary bipartite Gaussian states in a system consisting of two bosonic modes embedded in a common squeezed thermal environment.    We work in the framework of the theory of open systems. If the initial state of the subsystem is taken of Gaussian form, then the evolution under completely positive quantum dynamical semigroups assures the preservation in time of the Gaussian form of the states.    It was shown that  the thermal noise and dissipation introduced by the thermal environment destroy the steerability between the two bosonic modes. In the case of the squeezed thermal bath we show the dependence of the Gaussian steering on the squeezing parameters of the bath and of the initial state of the system. A comparison with other quantum correlations for the same system shows that, unlike Gaussian quantum discord, which is decreasing asymptotically in time, the Gaussian quantum steerability suffers a sudden death behaviour, like quantum entanglement.",2017-08-21 12:20:00+00:00,20 minutes,Talk,Workshop on continuous variables and quantum information,Workshop on Cont. Variables and Rel. Quantum Information,Mihaescu Tatiana,
1071,Exotic events in cosmic ray experiments at super high energies: a manifestation of New Physics?,"Cosmic ray experiments with emulsion chambers exhibit several unusual phenomena which are hard to interpret within the Standard Model. We present the systematic survey of most intriguing exotic events such as coplanar or aligned events, penetrating hadrons with abnormally weak absorption in lead, ‘Centauro’-type events, gamma-hadron families with huge halos and some other types of events which are detected at energies and in kinematic regions beyond the reach of modern colliders including the LHC and RHIC. However, several new phenomena recently observed at colliders seem to be relevant to the cosmic ray unusual events. Possible theoretical approaches for explanation of exotic phenomena are discussed.",2017-08-22 13:30:00+00:00,30 minutes,Talk,Special session on Astro-Cosmo-Gravity,Special session on Astro-Cosmo-Gravity,Alexander Borisov,
1072,Excited Charmed Baryons,A report on a present status of experimentally observed states of charmed baryons will be given.,2017-08-28 08:50:00+00:00,25 minutes,Talk,Parallel session,A High Energy Particle Physics:,Elena Solovieva,
1074,New particles and nonstandard new Physics,"Possible new particles other than those associated to conventional extensions of the standard model are considered, including the potential role of a new space-time (spinorial...) and of a new ultimate structure of vacuum where ""elementary"" particles would be generated. Experiments at CERN and at other (including future) accelerators are given particular attention. Relevant preon-like models are also discussed in connection with new particles.",2017-08-21 16:30:00+00:00,1 hour,Poster,Poster session,A High Energy Particle Physics:,Luis Gonzalez-Mestres,https://indico.cern.ch/event/559774/contributions/2656768/attachments/1497196/2330156/Spinorial_Regge_trajectories_and_Hagedorn-like_temperatures.pdf
1075,The MoEDAL Detector at the LHC,The MoEDAL experiment consists of several types of detectors located around the LHCb interaction point at the LHC.  Nuclear track detectors are used to look for highly ionizing particles while trapping detectors allow the detection of magnetically charged particles that stop in their volume.  Solid state MediPix detectors allow characterization of the background particle flux.  The current status of the MoEDAL detector will be discussed along with two planned subdetectors.  The first is a scintillator based detector to monitor MoEDAL trapping volumes for the decays of captured very long-lived highly-ionizing electrically charged particles.  This subdetector will be placed in an underground laboratory to reduce cosmic ray backgrounds.  The second planned subdetector is designed to detect mini-charged particles and will be located approximately 40m from the interaction point of which 30m is shielding rock and concrete.,2017-08-18 12:30:00+00:00,30 minutes,Talk,Mini-workshop on Highly Ionising Avatars of New Physics,Mini-workshop on Highly Ionising Avatars of New Physics,Richard Soluk,
1076,Overview talk on detector performances (CMS),"The performance of CMS detector on early 2017 data will be presented. Especial attention will be given to the performance of the recently upgraded components, and in particular to the newly installed silicon pixel detector.",2017-08-22 12:00:00+00:00,30 minutes,Talk,Special Session on Instruments and Methods in HEP,Special Session on Instruments and Methods,Silvia Goy Lopez,
1077,Experimental technique for $\mathrm{\bar{p}}$-nucleus annihilation cross section measurements at low energy,The interaction of very low energy $\bar{p}$ and $\bar{n}$ with nuclei is interesting for its influence on both fundamental cosmology and nuclear physics. Measuring the annihilation cross section of antimatter on matter can help in solving the universe matter-antimatter puzzle and could give relevant hints in the definition of strong interaction model parameters as well.    The ASACUSA collaboration recently measured the antiproton-carbon annihilation cross section at 5.3~MeV of kinetic energy of the incoming antiproton. The experimental apparatus consisted in a vacuum chamber containing thin foils ($\sim$0.7--1~$\mu$m) of carbon crossed by a bunched beam of antiprotons from the CERN Antiproton Decelerator (AD). The fraction of antiprotons annihilating on the target nucleons gives origin to charged pions which can be detected and counted by segmented scintillators placed outside the chamber. This work describes the experimental details of the apparatus and the technique to perform the cross section measurements.,2017-08-21 16:30:00+00:00,1 hour,Poster,Poster session,,Valerio Mascagna,
1080,The Standard Model Algebra,"A simple geometric algebra is shown to contain automatically the leptons and quarks of a generation of the Standard Model, and the electroweak and color gauge symmetries, without predicting extra particles and symmetries. The algebra is already naturally present in the Standard Model, in two instances of the Clifford algebra Cℓ6, one being algebraically generated by the Dirac algebra and the weak symmetry generators, and the other by a complex three-dimensional representation of the color symmetry, which generates a Witt decomposition which leads to the decomposition of the algebra into ideals representing leptons and quarks. The two instances being isomorphic, the minimal approach is to identify them, resulting in the model proposed here. The Dirac and Lorentz algebras appear naturally as subalgebras acting on the ideals representing leptons and quarks. The resulting representations on the ideals are invariant to the electromagnetic and color symmetries, which are generated by the bivectors of the algebra. The electroweak symmetry is also present, and it is already broken by the geometry of the algebra. The model predicts a bare Weinberg angle θW given by sin2θW=0.25. The model shares common ideas with previously known models, particularly with Chisholm and Farwell, 1996, Trayling and Baylis, 2004, and Furey, 2016.",2017-08-28 12:00:00+00:00,30 minutes,Talk,Parallel session,A High Energy Particle Physics:,Cristi Stoica,
1081,Observation of ultra-high energy cosmic rays with the Telescope Array experiment,"The origin of ultra-high energy cosmic rays (UHECRs) has been a long-standing mystery. The Telescope Array (TA) is the largest experiment in the northern hemisphere observing UHECR in Utah, USA. It aims to reveal the origin of UHECR by studying the energy spectrum, mass composition and anisotropy of cosmic rays. TA is a hybrid detector comprised of three air fluorescence stations which measure the fluorescence light induced from cosmic ray extensive air showers, and 507 surface scintillator counters which sample charged particles from air showers on the ground. We present the cosmic ray spectrum observed with the TA experiment. We also discuss our results from measurement of the mass composition. In addition, we present the results from the analysis of anisotropy, including the excess of observed events in a region of the northern sky at the highest energy. Finally, we introduce the TAx4 experiment which quadruples TA, and the TA low energy extension (TALE) experiment.",2017-08-21 10:00:00+00:00,30 minutes,Talk,Special session on Astro-Cosmo-Gravity,Special session on Astro-Cosmo-Gravity,Ryuji Takeishi,
1082,Lattice QCD at finite baryon density using analytic continuation,We simulate lattice QCD with two flavors at imaginary baryon chemical potential.     We use results for the baryon number density computed in the confining and deconfining phases at imaginary baryon chemical potential to determine the baryon number density and higher cumulants as well as the phase transition line at real chemical potential.,2017-08-26 12:30:00+00:00,30 minutes,Talk,Parallel session,,Vitaly Bornyakov,
1085,Nuclear effects in high-energy physics based upon a realistic treatment of short-range nucleon dynamics in nuclei,"\documentclass[11pt]{article}    \setlength{\topmargin}{-2cm}    \setlength{\oddsidemargin}{0cm}    \setlength{\evensidemargin}{0cm}    \setlength{\textwidth}{16cm}    \setlength{\textheight}{25.5cm}    \setlength{\parindent}{0.3cm}    \pagestyle{empty}    \newcommand{\bs}{\bigskip}    \newcommand{\ms}{\medskip}    \begin{document}    %\bc    \begin{center}    {\large \bf{Nuclear effects in high-energy physics based upon a    realistic treatment of short-range nucleon dynamics in nuclei}}    \end{center}    \begin{center}    {\bf Claudio  Ciofi degli Atti}\\    Istituto Nazionale di Fisica Nucleare, Sezione di Perugia  \\    Via A. Pascoli I-06123,  Perugia, Italy \\    \end{center}    %\bs    %%            ------ABSTRACT------    The theoretical and experimental study of the short- range    dynamics of bound nucleons, usually referred to as   the study of    nucleon-nucleon  short-range correlations (SRC) in nuclei,   made    a relevant progress in the last few years (see recent review    papers \cite{reviewmia,reviewloro}). It is  now well established    that at short relative distances (${\bf r}_{rel} ={\bf r}_i- {\bf    r}_j \leq 1-1.5 \, fm^{-1}$), the two nucleons ""i"" and ""j"" do not    follow the independent-particle motion prediction of the well    known shell model, but, on the contrary, according to recent    theoretical investigations, they are strongly correlated, forming    the so called {\it correlation hole}, which depends  upon the very    nature of the two-nucleon interaction as well as upon the values    of the orbital, $L$, spin, $S$,  and isospin, $T$, momenta  of the     pair. The effects of the correlation hole is to    produce in the ground state of the nucleus a large content of high    momentum components ($k\geq 2k_F$, $k_F$ being the Fermi    momentum),    which are missing in a shell-model description;    these high-momentum components  have indeed been recently detected    and investigated in detail in proton and electron inclusive and    exclusive experiments performed at BNL and Jlab. Besides having    deeply improved our knowledge of nuclei, SRC have also a serious    impact on various fields of physics, like, e.g., the structure of    high density matter \cite{reviewmia,reviewloro}, deep inelastic    scattering and the EMC effect \cite{reviewloro}, total high-energy    neutron-nucleus cross sections and the effects of Glauber-Gribov    shadowing \cite{total}, diffractive hadron-nucleus and    nucleus-nucleus scattering     \cite{nashboris2};  in particular it has been shown    \cite{qnp12,diffraction12}  that Gribov inelastic shadowing    effects, making nuclear matter more transparent, are to a certain    degree canceled by the effects of nucleon-nucleon  SRCs, acting on    the opposite direction.    %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%    %    \begin{thebibliography}{20}    \bibitem{reviewmia} C.~Ciofi degli Atti,  \textit{In-medium short-range dynamics of nucleons: recent    theoretical and experimental advances}, Physics Report  {\bf 590},    1 (2015).    \bibitem{reviewloro}O.~Hen, G.~A.~Miller, E.~Piasetzky, and L.~B.~Weinstein, \textit{Nucleon-nucleon     correlations and the    quarks within}, arXiv:     1611.09748v3 [nucl.ex]    to appear in Reviews of Modern Physics (2017).    %    \bibitem{total} M. ~Alvioli, C. ~Ciofi degli Atti, H. ~Morita, V. ~Palli, \textit{On the effects of correlations on the    total neutron-nucleus cross section at high energies}, Phys. Rev.    \textbf{C78} (2008) 031601(R).    %    \bibitem{nashboris2} C. Ciofi degli Atti, C. B. Mezzetti, B. Z. Kopeliovich, I. K. Potashnikova and I.    Schmidt, \textit{Number of collisions in the Glauber model and    beyond}, Phys. Rev. \textbf{C84} (2011) 025205.    %    \bibitem{qnp12} C. Ciofi degli Atti, \textit{Diffraction on nuclei: effects of nucleon-nucleon short-range correlations    and inelastic shadowing within an improved Glauber-Gribov    approach}, talk given at QNP12, Palaiseau, France, April 16-20,    2012. Proceedings of Science, PoS(QNP2012)169.    %    \bibitem{diffraction12} C. Ciofi degli Atti, \textit{Nucleon-nucleon short-range correlations  and Gribov    inelastic shadowing in high-energy hadron-nucleus collisions},    talk given at DIFFRACTION 2012, International Workshop on    Diffraction in High-Energy Physics, Lanzarote, Canary Islands    (Spain), September 10-15, 2012. AIP Conference proceedings, Volume    1523 p.227    %2    %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%    \end{thebibliography}    \end{document}",2017-08-28 08:30:00+00:00,30 minutes,Talk,A Particle Physics,A High Energy Particle Physics:,Claudio Ciofi degli Atti,
1086,Double Chooz double-detector results,"Double Chooz is a reactor antineutrino disappearance experiment located in Chooz, France, to measure the neutrino mixing angle $\theta_{13}$. By detecting the unique inverse beta decay (IBD) prompt-delayed signal antineutrinos can be precisely identified. The experiment consists of two liquid scintillator detectors of identical design; a far detector at a distance of about 1 km is operating since 2011; a near detector at a distance of about 400 m is operating since begin 2015. This double-detector setup with iso-flux configuration allows to fit the far detector data to the near detector data without relying on the reactor neutrino flux prediction where systematic uncertainties are suppressed to per mill level. Statistical uncertainties are reduced by not only using the delayed signal of neutron capture on Gadolinium but adding neutron captures on Hydrogen yielding a statistics increase of more than a factor of two.    To validate the measurement and suppression mechanism in the fit, multiple statistical methods as well as multiple fit configurations using the two detectors have been developed in Double Chooz. They are supplementary to each other to deliver a precise and accurate $\theta_{13}$ value. This contribution will present the latest results of the Double Chooz collaboration.",2017-08-28 08:00:00+00:00,30 minutes,Talk,Parallel session,Other Topics,Denise Hellwig,
1087,Antiproton-nucleus annihilation cross section at low energy,"The antinucleon-nuclei annihilation cross sections at low energies were systematicaly measured at CERN in the 80's and 90's with the LEAR facility and later with the Antiproton Decelerator. Unfortunately only few data exist for very low energy antiprotons (p<500 MeV/c) on medium and heavy nuclei.     A deeper knowledge is required by fundamental physics and can have consequence also in cosmology and medical physics.    In order to fill the gap, the ASACUSA Collaboration has very recently measured the annihilation cross section of 100 MeV/c antiproton on carbon.    In the present work the experimental result is presented together with a comparison both with the antineutron data on the same target at the same energies and with the other existing antiproton data at higher energies.",2017-08-21 16:30:00+00:00,1 hour,Poster,Poster session,,Luca Venturelli,
1088,"The ATLAS Run-2 Trigger Menu for higher luminosities: Design, Performance and Operational Aspects","The ATLAS experiment aims at recording about 1 kHz of physics collisions, starting with an LHC design bunch crossing rate of 40 MHz. To reduce the massive background rate while maintaining a high selection efficiency for rare physics events (such as beyond the Standard Model physics), a two-level trigger system is used. Events are selected based on physics signatures such as presence of energetic leptons, photons, jets or large missing energy. The trigger system exploits topological information, as well as multi-variate methods to carry out the necessary physics filtering. In total, the ATLAS online selection consists of thousands of different individual triggers.    A trigger menu is a compilation of these triggers which specifies the physics algorithms to be used during data taking and the bandwidth a given trigger is allocated. Trigger menus reflect not only the physics goals of the collaboration for a given run, but also take into consideration the instantaneous luminosity of the LHC and limitations from the ATLAS detector readout and offline processing farm. For the 2017 run, the ATLAS trigger has been enhanced to be able to handle higher instantaneous luminosities (up to 2.0x10^{34}cm^{-2}s^{-1}) and to ensure the selection robustness against higher average multiple interactions per bunch crossing.    In this presentation, we describe the design criteria for the trigger menus used for Run 2 at the LHC. We discuss several aspects of the process, from the validation of the algorithms, the fine-tuning of the prescales, and the monitoring tools that ensure the smooth operation of the trigger during data-taking. We also report on the physics performance of a few trigger algorithms.",2017-08-23 14:30:00+00:00,30 minutes,Talk,Parallel session,A High Energy Particle Physics:,Arantxa Ruiz Martinez,
1089,Invisible Trojan-horse attack,"Quantum key distribution (QKD) allows two remote parties, Alice and Bob, to obtain symmetric keys – random but correlated sequence of bits – by exchanging quantum states [1]. The security relies on the fact that an adversary Eve cannot eavesdrop without introducing noticeable errors. However, due to gaps existing between theory and practice, it is often possible for an eavesdropper, Eve to implement some attacks to extract information about the keys without introducing noticable errors. Such gaps can arise due to imperfections in the physical devices and/or incorrect assumptions in the theoretical security proofs [2,3]. Hence, before trying to promote and commercialize QKD, it is of utmost importance to identify these gaps and evaluate their effects on the security.    This is where security evaluation of QKD comes in. It involves investigating practical QKD implementations to identify such theory-practice deviations, demonstrate the resultant vulnerability, and propose countermeasures to protect Alice and Bob from Eve. In this work, we have done such a security evaluation of the practical QKD system Clavis2 [4] running the Scarani-Acin-Ribordy-Gisin QKD protocol [5]. We evaluated security against the so- called Trojan-horse attack (THA) [6].    In a THA, Eve can probe the properties of a component inside Alice or Bob by sending in a bright pulse into the system and analyzing a suitable back-reflected portion of it. This attack was previously attempted [7] at telecom wavelength with the intention to breach the security of a similar system and was successful in remotely reading the phase modulator settings in Bob via a homodyne measurement. However, the resultant increase in afterpulsing [8] at Bob’s InGaAs single-photon detectors (SPDs) led to an elevated quantum bit error rate (QBER) which disclosed the presence of Eve.    In this work, we have tested the experimental feasibility of a Trojan-horse attack that remains nearly invisible and evaluated the security of Clavis2 system against it. The invisibility has been achieved by using a different wavelength where detectors are expected to be less sensitive. To quantify the decrease in afterpulsing probabilities, we have compared the afterpulsing at λl = 1924 nm with that at λs = 1536 nm.    From Eve’s point of view, the benefit of reduced afterpulsing at λl comes at the expense of a much higher attenuation inside Bob. Additionally, the degree of modulation received at λl differs from that at λs substantially. We quantify the increased optical attenuation and the suboptimal modulator response by means of further experimental measurements. Taking all these factors into account as well as optimizing the attack path through Bob, we evaluate the attack performances in the long wavelength regime. By means of a numerical simulation, we conclude that a Trojan- horse attack at λl can extract keys from the system at the same time being invisible to Alice and Bob. The invisible nature of the current attack poses a threat to the security of practical QKD if proper countermeasures are not adopted. We end by remarking that the attack can be mitigated by using a wavelength filter at the input of the QKD device.    [1] C. H. Bennett and G. Brassard, in Proceedings of IEEE In- ternational Conference on Computers, Systems, and Sig- nal Processing (IEEE Press, New York, Bangalore, India, 1984) pp. 175–179.    [2] V. Scarani, H. Bechmann-Pasquinucci, N. J. Cerf, M. Duˇsek, N. Lu ̈tkenhaus, and M. Peev, Rev. Mod. Phys. 81, 1301 (2009).    [3] N. Jain, B. Stiller, I. Khan, D. Elser, C. Marquardt, and G. Leuchs, Contemporary Physics 57, 366 (2016), http://dx.doi.org/10.1080/00107514.2016.1148333.    [4] Clavis2 specification sheet, http://www. idquantique.com/images/stories/PDF/    clavis2- quantum- key- distribution/clavis2- specs.    pdf, visited 28 May 2016.    [5] V. Scarani, A. Ac ́ın, G. Ribordy, and N. Gisin, Phys. Rev.    Lett. 92, 057901 (2004).    [6] N. Gisin, S. Fasel, B. Kraus, H. Zbinden, and G. Ribordy,    Phys. Rev. A 73, 022320 (2006).    [7] N. Jain, E. Anisimova, I. Khan, V. Makarov, C. Mar-    quardt, and G. Leuchs, New J. Phys. 16, 123030 (2014).     [8] C. Wiechers, L. Lydersen, C. Wittmann, D. Elser, J. Skaar, C. Marquardt, V. Makarov, and G. Leuchs,    New J. Phys. 13, 013043 (2011).",2017-08-26 12:00:00+00:00,30 minutes,Talk,Parallel session,"C Quantum Physics, Quantum Optics and Quantum Information",shihan sajeed,
1090,Recent CMS B physics results,"Particles containing heavy quarks are produced in LHC pp collisions at 7, 8, and 13 TeV and constitute an excellent laboratory to test the Standard Model and probe for New Physics effects. Recent results by the CMS Collaboration on heavy flavor production and properties are reported.",2017-08-19 14:20:00+00:00,30 minutes,Talk,Parallel session,A High Energy Particle Physics:,Sergey Polikarpov,
1091,New Baryonic and Mesonic Observables from NA61/SHINE,"One of the main objectives of the NA61/SHINE experiment at CERN SPS is to search for the critical point on the transition line between the two phases of matter, the quark-gluon plasma and hadron gas. In this talk we present first results on three new observables relevant for the properties of the system as it cools back from the QGP down to the hadronic phase, which recently enriched the NA61/SHINE strong interaction programme.    We investigate proton density fluctuations as a possible order parameter of the phase transition in the neighborhood of the critical point. To this end, we perform an intermittency analysis of the proton second scaled factorial moments (SSFMs) in transverse momentum space. A previous analysis of this sort revealed significant power-law fluctuations in the NA49 heavy ion collision experiment for the “Si”+Si system at 158A GeV/c. The fitted power-law exponent was consistent with the theoretically expected critical value, within errors, a result suggesting a baryochemical potential for the critical point in the vicinity of ~250 MeV. We now extend the analysis to NA61 systems of similar size, Be+Be and Ar+Sc, at 158A GeV/c.    We present the first ever measurements of Phi meson production in p+p collisions at 40 and 80 GeV/c, and most detailed ever experimental data at 158 GeV/c. We demonstrate the superior accuracy of the present dataset with respect to existing measurements. The comparison of p+p to Pb+Pb collisions demonstrates a non-trivial system size dependence of the longitudinal evolution of hidden strangeness production, contrasting with that of other mesons.    The electromagnetic (EM) effects on charged meson production give, for the first time, a consistent picture of the longitudinal evolution of the system at SPS energies. We discuss the role of energy-momentum conservation in the latter and present feasibility studies for EM effects in Be+Be, Ar+Sc and Pb+Pb collisions as a function of their centrality and energy.",2017-08-24 09:00:00+00:00,30 minutes,Talk,Workshop on Physics at FAIR-NICA-SPS-BES/RHIC,Workshop on Physics at FAIR-NICA-SPS-BES/RHIC,Antoni Marcinek,
1092,Collective phenomena from high energy proton-proton to heavy-ion collisions at the LHC,"The LHC offers un unprecedented environment where p-p, p-Pb and Pb–Pb  collsions are produced at the largest ever collision energies, up to more than one order of magnitude larger than previously achieved. Experiments at LHC has probed the properties of the deconfined matter state expected in Heavy Ions collisions, with results compatible with an hydrodynamical description. What have been particularly striking are the findings in p-Pb and in high multiplicity events in p-p collisions, where similar features have been observed, starting from the CMS “ridge” in the long range near side angular correlation in 2010. This talk will give a wide review of the experimental results on collective phenomena for the CMS, ATLAS and ALICE experiments, connecting what have been observed in Heavy Ions collisions to the p-p results.",2017-08-28 08:00:00+00:00,30 minutes,Talk,A Particle Physics,,Daniele Fasanella,
1093,Event topology reconstruction in the CBM experiment at FAIR,"One of the main purposes of the physics program of the future heavy ion experiment CBM (FAIR, Germany) is to understand the properties of strongly interacting matter at very high baryonic densities and to study the possibility of a phase transition to a deconfined and chirally restored phase of quark matter. The experiment will operate at high interaction rates up to 10 MHz, that requires a full event reconstruction in real time.     In order to make an efficient event selection online a clean sample of particles has to be provided by the reconstruction package called First Level Event Selection (FLES). The FLES package operates in two stages. First, particles registered in the CBM detector system are reconstructed. Then short-lived particles decayed before or inside the setup are searched based on their charged and neutral daughter particles. Since the FLES package is developed to run on many-core computer architectures, the reconstruction of particles is done in parallel that provides a possibility for a global competition between particle candidates. Such a global event topology reconstruction significantly improves suppression of a combinatorial background and provides for further physics analysis a very clean sample of particles produced at different stages of heavy ion collision.     The global event topology reconstruction procedure and the results of its application to simulated collisions in the CBM detector setup are presented and discussed in details.",2017-08-25 06:30:00+00:00,30 minutes,Talk,Workshop on Physics at FAIR-NICA-SPS-BES/RHIC,Workshop on Physics at FAIR-NICA-SPS-BES/RHIC,Ivan Kisel,
1094,Ultrafast Quantum Key Distribution with Ultra-Broad Squeezed Light,"A scheme for parallel, high-throughput continuous-variable QKD (CV-QKD) is presented that efficiently utilizes the optical bandwidth resource of broadband squeezed vacuum (of order $10-100$THz), using a novel method for broadband spectrally resolved parametric homodyne measurement. Large multi-bit frames of data can be encoded simultaneously onto the squeezed vacuum spectrum by shaping its spectral phase using a Fourier-domain pulse shaper. This data can later be decoded at the receiving end by measuring the spectral quadrature fluctuation across the entire spectrum on a linear array of fast detectors using the pump field as a single local oscillator for all frequency pairs in the spectrum. The speed-up of the proposed protocol compared to standard protocols is proportional to the number of detectors in the array, which ideally can reach $10^5$ (defined by the ratio of the total bandwidth to the modulation rate of a single channel), and practically can be well over 100.     Our Scheme relies on a common version of CV-QKD, where the data is encoded onto the amplitude and phase of squeezed vacuum light (or the field quadratures) and is read out by coherent homodyne detection against a local oscillator [1]. CV-QKD is considered faster than discrete variable QKD because of the technical details of homodyne detection, which allow faster measurement than photon counting. In addition it may allow use of multiple photons per detection (and transfer multiple data bits per detection correspondingly) [2]. The security of the communication relies on the inability to measure both quadratures simultaneously, indicating that a receiving party can measure only one quadrature with no information on the other. Moreover, variation of the quadrature axis (phase of the pump) between (0,π⁄2) and (π⁄4,-π⁄4) naturally defines two mutually exclusive bases, where measurement along the (π⁄4,-π⁄4) axis cannot provide any information for a state that was squeezed along the other (0,π⁄2) axis, very similar to measuring the polarization of a single photon along the wrong axis of polarization.     **References**    1.	T. Gehring, V. Handchen, J. Duhme, F. Furrer, T. Franz, C. Pacher, R. F. Werner and R. Schnabel, ""Implementation of continuous-variable quantum key distribution with composable and one-sided-device-independent security against coherent attacks"", Nature Communications  6, 8795 (2015).    2.	F. Grosshans, G. Van Assche, J. Wenger, R. Brouri, N. J. Cerf and P. Grangier, ""Quantum key distribution using gaussian-modulated coherent states"", Nature 421, 238 (2003)    3.	A. M. Weiner, "" Ultrafast optical pulse shaping: A tutorial review"", Opt. Commun. 284, 3669 (2011).",2017-08-22 12:20:00+00:00,20 minutes,Talk,Workshop on continuous variables and quantum information,Workshop on Cont. Variables and Rel. Quantum Information,Avi Pe'er,
